Order_ID,Restaurant,User_Type,Time,Items_List,Items
25,Hardees,diet,night,['Chicken Fillet'],Chicken Fillet
26,McDonalds,student,night,"['McChicken', 'Nuggets', 'Fanta']","McChicken, Nuggets, Fanta"
27,McDonalds,family,night,"['McChicken', 'Nuggets', 'Nuggets', 'Fanta']","McChicken, Nuggets, Nuggets, Fanta"
28,KFC,diet,afternoon,['Twister'],Twister
29,PizzaHut,diet,morning,['Margherita'],Margherita
30,Hardees,family,afternoon,"['Chicken Fillet', 'Nuggets', 'Fries', 'Cola']","Chicken Fillet, Nuggets, Fries, Cola"
31,SpaghettiFactory,student,night,"['Spaghetti Bolognese', 'Garlic Bread', 'Juice']","Spaghetti Bolognese, Garlic Bread, Juice"
32,TacoBell,student,afternoon,"['Taco', 'Nachos', 'Pepsi']","Taco, Nachos, Pepsi"
33,Hardees,family,morning,"['Thickburger', 'Fries', 'Cola']","Thickburger, Fries, Cola"
34,TacoBell,family,afternoon,"['Taco', 'Nachos', 'Fries', 'Mountain Dew']","Taco, Nachos, Fries, Mountain Dew"
35,KFC,diet,night,['Chicken Bucket'],Chicken Bucket
36,Dominos,family,night,"['Pepperoni Pizza', 'Potato Wedges', 'Coke', 'Coke']","Pepperoni Pizza, Potato Wedges, Coke, Coke"
37,Bazooka,student,morning,"['Beef Burger', 'Fries', 'Cola']","Beef Burger, Fries, Cola"
38,CookDoor,student,night,"['Shawarma', 'Onion Rings', 'Cola']","Shawarma, Onion Rings, Cola"
39,Dominos,diet,morning,"['Pepperoni Pizza', 'Potato Wedges']","Pepperoni Pizza, Potato Wedges"
40,TacoBell,student,morning,"['Taco', 'Fries', 'Mountain Dew']","Taco, Fries, Mountain Dew"
41,Dominos,diet,afternoon,['Pepperoni Pizza'],Pepperoni Pizza
42,Hardees,family,night,"['Thickburger', 'Fries', 'Pepsi']","Thickburger, Fries, Pepsi"
43,Hardees,student,night,"['Chicken Fillet', 'Cola', 'Spaghetti Bolognese']","Chicken Fillet, Cola, Spaghetti Bolognese"
44,Bazooka,student,morning,"['Beef Burger', 'Cola']","Beef Burger, Cola"
45,Hardees,diet,afternoon,['Chicken Fillet'],Chicken Fillet
46,CookDoor,diet,morning,['Shawarma'],Shawarma
47,Dominos,student,afternoon,"['Pepperoni Pizza', 'Potato Wedges', 'Sprite', 'Big Mac']","Pepperoni Pizza, Potato Wedges, Sprite, Big Mac"
48,SpaghettiFactory,student,night,"['Alfredo Pasta', 'Salad', 'Soda']","Alfredo Pasta, Salad, Soda"
49,Zooba,student,afternoon,"['Koshary', 'Tamarind Juice']","Koshary, Tamarind Juice"
50,McDonalds,student,afternoon,"['Big Mac', 'Nuggets']","Big Mac, Nuggets"
51,KFC,family,morning,"['Chicken Bucket', 'Fries', 'Pepsi']","Chicken Bucket, Fries, Pepsi"
52,SpaghettiFactory,family,night,"['Alfredo Pasta', 'Salad']","Alfredo Pasta, Salad"
53,KFC,diet,afternoon,['Chicken Bucket'],Chicken Bucket
54,CookDoor,diet,night,['Shawarma'],Shawarma
55,PizzaHut,student,morning,"['Pepperoni Pizza', 'Wings', 'Pepsi']","Pepperoni Pizza, Wings, Pepsi"
56,SpaghettiFactory,family,morning,"['Alfredo Pasta', 'Garlic Bread', 'Garlic Bread', 'Soda']","Alfredo Pasta, Garlic Bread, Garlic Bread, Soda"
57,KFC,family,afternoon,"['Zinger', 'Coleslaw', 'Coleslaw', 'Pepsi']","Zinger, Coleslaw, Coleslaw, Pepsi"
58,Hardees,diet,morning,['Chicken Fillet'],Chicken Fillet
59,Zooba,student,morning,"['Koshary', 'Tamarind Juice', 'Tamarind Juice', 'Mirinda', 'Margherita', 'Soda', 'Koshary', 'Chicken Ranch', 'Onion Rings', 'Juice', 'Shawarma', 'Cola', 'Thickburger', 'Pickles', 'Hibiscus', 'Salad', 'Chicken Bucket']","Koshary, Tamarind Juice"
60,McDonalds,student,afternoon,"['Quarter Pounder', 'Sprite']","Quarter Pounder, Sprite"
61,Bazooka,family,morning,"['Beef Burger', 'Fries', 'Mozzarella Sticks', 'Juice']","Beef Burger, Fries, Mozzarella Sticks, Juice"
62,Bazooka,diet,night,['Beef Burger'],Beef Burger
63,Hardees,student,morning,"['Chicken Fillet', 'Pepsi']","Chicken Fillet, Pepsi"
64,McDonalds,family,morning,"['Quarter Pounder', 'Fries', 'Fries', 'Coke']","Quarter Pounder, Fries, Fries, Coke"
65,McDonalds,diet,night,['Big Mac'],Big Mac
66,Bazooka,diet,afternoon,['Beef Burger'],Beef Burger
67,Zooba,family,night,"['Koshary', 'Fries', 'Fries', 'Hibiscus', 'Alfredo Pasta']","Koshary, Fries, Fries, Hibiscus, Alfredo Pasta"
68,Hardees,family,afternoon,"['Chicken Fillet', 'Fries', 'Fries', 'Pepsi']","Chicken Fillet, Fries, Fries, Pepsi"
69,Dominos,diet,afternoon,['BBQ Chicken Pizza'],BBQ Chicken Pizza
70,KFC,diet,afternoon,['Twister'],Twister
71,CookDoor,family,morning,"['Chicken Sandwich', 'Onion Rings', 'Cola', 'Koshary']","Chicken Sandwich, Onion Rings, Cola, Koshary"
72,Bazooka,student,morning,"['Beef Burger', 'Fries']","Beef Burger, Fries"
73,CookDoor,family,afternoon,"['Shawarma', 'Fries', 'Juice']","Shawarma, Fries, Juice"
74,McDonalds,family,afternoon,"['Quarter Pounder', 'Nuggets', 'Fries']","Quarter Pounder, Nuggets, Fries"
75,McDonalds,family,afternoon,"['Quarter Pounder', 'Fries', 'Fries', 'Fanta']","Quarter Pounder, Fries, Fries, Fanta"
76,Zooba,diet,night,['Koshary'],Koshary
77,Dominos,student,morning,"['Pepperoni Pizza', 'Cheesy Bread', 'Sprite']","Pepperoni Pizza, Cheesy Bread, Sprite"
78,Zooba,student,afternoon,"['Falafel Sandwich', 'Hibiscus']","Falafel Sandwich, Hibiscus"
79,PizzaHut,student,night,"['Pepperoni Pizza', 'Wings', 'Pepsi', 'Pepsi', 'Potato Wedges', 'Pepsi', 'Pepsi', 'Pepsi', 'Pepsi', 'Pepsi', 'Pepsi', 'Pepsi', 'Pepsi', 'Pepsi', 'Mountain Dew', 'Pepsi', 'Pepsi', 'Pepsi', 'Chicken Bucket', 'Pepsi', 'Pepsi', 'Pepsi', 'Pepsi', 'Pepsi', 'Pepsi', 'Pepsi', 'Pepsi', 'Pepsi', 'Pepsi', 'Pepsi', 'Pepsi', 'Pepsi', 'Pepsi', 'Pepsi', 'Pepsi', 'Pepsi', 'Pepsi', 'Pepsi', 'Pepsi', 'Pepsi', 'Zinger', 'Pepsi', 'Pepsi', 'Pepsi', 'Pepsi', 'Pepsi', 'Pepsi', 'Pepsi', 'Pepsi', 'Pepsi', 'Pepsi', 'Beef Burger', 'Pepsi', 'Pepsi', 'McChicken', 'Pepsi', 'Pepsi', 'Pepsi', 'Pepsi', 'Pepsi', 'Pepsi', 'Pickles', 'Pepsi', 'Pepsi', 'Pepsi', 'Pepsi', 'Pepsi', 'Pepsi', 'Pepsi', 'Pepsi', 'Pepsi', 'Pepsi', 'Mirinda', 'Pepsi', 'Pepsi', 'Sprite', 'Potato Wedges', 'Pepsi', 'Pepsi', 'Pepsi', 'Pepsi', 'Pepsi', 'Pepsi', 'Pepsi', 'Pepsi', 'Pepsi', 'Pepsi', 'Pepsi', 'Pepsi', 'Pepsi', 'Pepsi', 'Pepsi', 'Pepsi', 'Pepsi', 'Pepsi', 'Cheesy Bread', 'Pepsi', 'Pepsi', 'Pepsi', 'Pepsi', 'Pepsi', 'Pepsi', 'Pepsi', 'Pepsi', 'Mirinda', 'Pepsi', 'Pepsi', 'Pepsi', 'Pepperoni Pizza', 'Koshary', 'Pepsi', 'Onion Rings', 'Pepsi', 'Quarter Pounder', 'Pepsi', 'Pepsi', 'Pepsi', 'Coleslaw', 'Pepsi', 'Coleslaw', 'Pepsi', 'Tamarind Juice', 'Pepsi']","Pepperoni Pizza, Wings, Pepsi, Pepsi"
80,CookDoor,family,morning,"['Shawarma', 'Fries', 'Juice']","Shawarma, Fries, Juice"
81,SpaghettiFactory,family,morning,"['Alfredo Pasta', 'Garlic Bread', 'Garlic Bread']","Alfredo Pasta, Garlic Bread, Garlic Bread"
82,SpaghettiFactory,student,night,"['Alfredo Pasta', 'Juice']","Alfredo Pasta, Juice"
83,TacoBell,diet,night,"['Burrito', 'Fries']","Burrito, Fries"
84,McDonalds,diet,night,['Big Mac'],Big Mac
85,McDonalds,student,afternoon,"['McChicken', 'Fries', 'Sprite']","McChicken, Fries, Sprite"
86,SpaghettiFactory,student,afternoon,"['Alfredo Pasta', 'Salad', 'Soda']","Alfredo Pasta, Salad, Soda"
87,Zooba,family,afternoon,"['Koshary', 'Hibiscus']","Koshary, Hibiscus"
88,Zooba,diet,morning,['Koshary'],Koshary
89,PizzaHut,diet,morning,['Pepperoni Pizza'],Pepperoni Pizza
90,TacoBell,diet,afternoon,['Taco'],Taco
91,Bazooka,student,morning,"['Crispy Sandwich', 'Juice']","Crispy Sandwich, Juice"
92,Bazooka,diet,morning,['Beef Burger'],Beef Burger
93,Bazooka,diet,night,"['Beef Burger', 'Mozzarella Sticks']","Beef Burger, Mozzarella Sticks"
94,Dominos,student,afternoon,"['Pepperoni Pizza', 'Potato Wedges', 'Sprite']","Pepperoni Pizza, Potato Wedges, Sprite"
95,KFC,family,afternoon,"['Chicken Bucket', 'Coleslaw', 'Coleslaw', '7UP']","Chicken Bucket, Coleslaw, Coleslaw, 7UP"
96,CookDoor,family,afternoon,"['Shawarma', 'Onion Rings', 'Fries', 'Juice']","Shawarma, Onion Rings, Fries, Juice"
97,McDonalds,family,morning,"['Big Mac', 'Fries', 'Coke', 'Cheesy Bread', 'Fanta', 'Chicken Sandwich', 'BBQ Chicken Pizza', 'Wings', 'McChicken', 'Chicken Fillet', 'Hibiscus', 'Nuggets', 'Mountain Dew', 'Mozzarella Sticks', 'Potato Wedges', 'Spaghetti Bolognese', 'Salad', 'Quarter Pounder', 'Alfredo Pasta', 'Spaghetti Bolognese']","Big Mac, Fries, Coke"
98,Dominos,student,afternoon,"['BBQ Chicken Pizza', 'Potato Wedges', 'Sprite']","BBQ Chicken Pizza, Potato Wedges, Sprite"
99,Dominos,family,night,"['BBQ Chicken Pizza', 'Cheesy Bread', 'Cheesy Bread', 'Coke']","BBQ Chicken Pizza, Cheesy Bread, Cheesy Bread, Coke"
100,Bazooka,diet,afternoon,['Crispy Sandwich'],Crispy Sandwich
101,KFC,diet,morning,['Chicken Bucket'],Chicken Bucket
102,Zooba,student,morning,"['Koshary', 'Pickles', 'Tamarind Juice']","Koshary, Pickles, Tamarind Juice"
103,Dominos,family,night,"['BBQ Chicken Pizza', 'Potato Wedges', 'Sprite', 'Coke']","BBQ Chicken Pizza, Potato Wedges, Sprite, Coke"
104,SpaghettiFactory,student,afternoon,"['Spaghetti Bolognese', 'Garlic Bread', 'Soda']","Spaghetti Bolognese, Garlic Bread, Soda"
105,Dominos,student,morning,"['Pepperoni Pizza', 'Potato Wedges', 'Coke']","Pepperoni Pizza, Potato Wedges, Coke"
106,McDonalds,student,morning,"['Quarter Pounder', 'Fanta']","Quarter Pounder, Fanta"
107,CookDoor,family,afternoon,"['Shawarma', 'Fries', 'Juice', 'Thickburger', 'Twister', 'Garlic Bread', 'Beef Burger', 'Spaghetti Bolognese', 'Coke', 'Chicken Ranch', 'Koshary', 'BBQ Chicken Pizza', '7UP', 'Burrito']","Shawarma, Fries, Juice"
108,Dominos,family,night,"['Pepperoni Pizza', 'Potato Wedges', 'Potato Wedges', 'Coke', 'Sprite']","Pepperoni Pizza, Potato Wedges, Potato Wedges, Coke, Sprite"
109,CookDoor,diet,night,"['Shawarma', 'Onion Rings']","Shawarma, Onion Rings"
110,CookDoor,diet,night,['Chicken Sandwich'],Chicken Sandwich
111,Dominos,family,night,"['BBQ Chicken Pizza', 'Potato Wedges', 'Potato Wedges', 'Sprite', 'Sprite']","BBQ Chicken Pizza, Potato Wedges, Potato Wedges, Sprite, Sprite"
112,Bazooka,student,afternoon,"['Beef Burger', 'Juice']","Beef Burger, Juice"
113,Dominos,family,night,"['BBQ Chicken Pizza', 'Cheesy Bread', 'Coke']","BBQ Chicken Pizza, Cheesy Bread, Coke"
114,McDonalds,student,afternoon,"['Big Mac', 'Fries', 'Coke']","Big Mac, Fries, Coke"
115,KFC,family,morning,"['Zinger', 'Fries', 'Pepsi', 'Coleslaw', 'Juice', 'Salad', 'Chicken Bucket', 'Crispy Sandwich', 'Sprite', 'Salad', 'Chicken Sandwich', 'McChicken', 'Coke', 'Onion Rings', 'Juice', 'Cheesy Bread', 'Cheesy Bread', 'BBQ Chicken Pizza', 'Mountain Dew']","Zinger, Fries, Pepsi"
116,KFC,family,night,"['Twister', 'Fries', 'Fries', 'Pepsi']","Twister, Fries, Fries, Pepsi"
117,McDonalds,family,night,"['Quarter Pounder', 'Fries', 'Fanta']","Quarter Pounder, Fries, Fanta"
118,Dominos,diet,afternoon,['Pepperoni Pizza'],Pepperoni Pizza
119,PizzaHut,diet,afternoon,['Margherita'],Margherita
120,Zooba,student,morning,"['Koshary', 'Hibiscus']","Koshary, Hibiscus"
121,KFC,diet,night,['Twister'],Twister
122,Dominos,family,morning,"['Pepperoni Pizza', 'Potato Wedges', 'Sprite']","Pepperoni Pizza, Potato Wedges, Sprite"
123,CookDoor,family,morning,"['Chicken Sandwich', 'Fries', 'Onion Rings', 'Juice']","Chicken Sandwich, Fries, Onion Rings, Juice"
124,Dominos,student,morning,"['Pepperoni Pizza', 'Potato Wedges', 'Sprite']","Pepperoni Pizza, Potato Wedges, Sprite"
125,Hardees,family,afternoon,"['Thickburger', 'Fries', 'Cola']","Thickburger, Fries, Cola"
126,CookDoor,student,afternoon,"['Chicken Sandwich', 'Fries', 'Juice']","Chicken Sandwich, Fries, Juice"
127,SpaghettiFactory,student,morning,"['Alfredo Pasta', 'Salad']","Alfredo Pasta, Salad"
128,Zooba,diet,afternoon,['Falafel Sandwich'],Falafel Sandwich
129,Bazooka,diet,morning,['Beef Burger'],Beef Burger
130,PizzaHut,diet,morning,['Chicken Ranch'],Chicken Ranch
131,Bazooka,family,morning,"['Beef Burger', 'Fries', 'Cola']","Beef Burger, Fries, Cola"
132,KFC,diet,afternoon,"['Twister', 'Fries']","Twister, Fries"
133,Zooba,diet,afternoon,['Falafel Sandwich'],Falafel Sandwich
134,KFC,family,morning,"['Chicken Bucket', 'Fries', '7UP']","Chicken Bucket, Fries, 7UP"
135,Zooba,diet,morning,['Falafel Sandwich'],Falafel Sandwich
136,Zooba,student,afternoon,"['Falafel Sandwich', 'Fries', 'Hibiscus']","Falafel Sandwich, Fries, Hibiscus"
137,Dominos,student,night,"['BBQ Chicken Pizza', 'Cheesy Bread', 'Sprite', 'Sprite']","BBQ Chicken Pizza, Cheesy Bread, Sprite, Sprite"
138,Dominos,student,morning,['Pepperoni Pizza'],Pepperoni Pizza
139,Hardees,student,morning,['Thickburger'],Thickburger
140,Bazooka,student,night,"['Beef Burger', 'Mozzarella Sticks', 'Juice']","Beef Burger, Mozzarella Sticks, Juice"
141,KFC,diet,morning,['Zinger'],Zinger
142,SpaghettiFactory,diet,afternoon,['Spaghetti Bolognese'],Spaghetti Bolognese
143,Dominos,family,morning,"['BBQ Chicken Pizza', 'Potato Wedges', 'Potato Wedges', 'Sprite']","BBQ Chicken Pizza, Potato Wedges, Potato Wedges, Sprite"
144,TacoBell,student,afternoon,"['Burrito', 'Fries', 'Mountain Dew', 'Potato Wedges']","Burrito, Fries, Mountain Dew, Potato Wedges"
145,PizzaHut,family,afternoon,"['Chicken Ranch', 'Wings', 'Wings', 'Pepsi']","Chicken Ranch, Wings, Wings, Pepsi"
146,Hardees,student,morning,"['Thickburger', 'Cola']","Thickburger, Cola"
147,PizzaHut,family,afternoon,"['Pepperoni Pizza', 'Wings', 'Pepsi']","Pepperoni Pizza, Wings, Pepsi"
148,PizzaHut,family,afternoon,"['Pepperoni Pizza', 'Wings', 'Pepsi', 'Pepsi', 'Potato Wedges', 'Pepsi', 'Pepsi', 'Pepsi', 'Pepsi', 'Pepsi', 'Pepsi', 'Pepsi', 'Pepsi', 'Pepsi', 'Mountain Dew', 'Pepsi', 'Pepsi', 'Pepsi', 'Chicken Bucket', 'Pepsi', 'Pepsi', 'Pepsi', 'Pepsi', 'Pepsi', 'Pepsi', 'Pepsi', 'Pepsi', 'Pepsi', 'Pepsi', 'Pepsi', 'Pepsi', 'Pepsi', 'Pepsi', 'Pepsi', 'Pepsi', 'Pepsi', 'Pepsi', 'Pepsi', 'Pepsi', 'Pepsi', 'Zinger', 'Pepsi', 'Pepsi', 'Pepsi', 'Pepsi', 'Pepsi', 'Pepsi', 'Pepsi', 'Pepsi', 'Pepsi', 'Pepsi', 'Beef Burger', 'Pepsi', 'Pepsi', 'McChicken', 'Pepsi', 'Pepsi', 'Pepsi', 'Pepsi', 'Pepsi', 'Pepsi', 'Pickles', 'Pepsi', 'Pepsi', 'Pepsi', 'Pepsi', 'Pepsi', 'Pepsi', 'Pepsi', 'Pepsi', 'Pepsi', 'Pepsi', 'Mirinda', 'Pepsi', 'Pepsi', 'Sprite', 'Potato Wedges', 'Pepsi', 'Pepsi', 'Pepsi', 'Pepsi', 'Pepsi', 'Pepsi', 'Pepsi', 'Pepsi', 'Pepsi', 'Pepsi', 'Pepsi', 'Pepsi', 'Pepsi', 'Pepsi', 'Pepsi', 'Pepsi', 'Pepsi', 'Pepsi', 'Cheesy Bread', 'Pepsi', 'Pepsi', 'Pepsi', 'Pepsi', 'Pepsi', 'Pepsi', 'Pepsi', 'Pepsi', 'Mirinda', 'Pepsi', 'Pepsi', 'Pepsi', 'Pepperoni Pizza', 'Koshary', 'Pepsi', 'Onion Rings', 'Pepsi', 'Quarter Pounder', 'Pepsi', 'Pepsi', 'Pepsi', 'Coleslaw', 'Pepsi', 'Coleslaw', 'Pepsi', 'Tamarind Juice', 'Pepsi']","Pepperoni Pizza, Wings, Pepsi, Pepsi, Potato Wedges"
149,Hardees,student,afternoon,"['Thickburger', 'Pepsi']","Thickburger, Pepsi"
150,Bazooka,diet,night,"['Beef Burger', 'Mozzarella Sticks']","Beef Burger, Mozzarella Sticks"
151,SpaghettiFactory,student,morning,"['Alfredo Pasta', 'Garlic Bread', 'Soda']","Alfredo Pasta, Garlic Bread, Soda"
152,TacoBell,student,morning,"['Taco', 'Fries', 'Pepsi']","Taco, Fries, Pepsi"
153,Bazooka,diet,night,['Beef Burger'],Beef Burger
154,TacoBell,student,morning,"['Taco', 'Fries', 'Mountain Dew']","Taco, Fries, Mountain Dew"
155,Zooba,student,night,"['Falafel Sandwich', 'Hibiscus']","Falafel Sandwich, Hibiscus"
156,PizzaHut,student,afternoon,"['Pepperoni Pizza', 'Wings', 'Pepsi', 'Pepsi', 'Potato Wedges', 'Pepsi', 'Pepsi', 'Pepsi', 'Pepsi', 'Pepsi', 'Pepsi', 'Pepsi', 'Pepsi', 'Pepsi', 'Mountain Dew', 'Pepsi', 'Pepsi', 'Pepsi', 'Chicken Bucket', 'Pepsi', 'Pepsi', 'Pepsi', 'Pepsi', 'Pepsi', 'Pepsi', 'Pepsi', 'Pepsi', 'Pepsi', 'Pepsi', 'Pepsi', 'Pepsi', 'Pepsi', 'Pepsi', 'Pepsi', 'Pepsi', 'Pepsi', 'Pepsi', 'Pepsi', 'Pepsi', 'Pepsi', 'Zinger', 'Pepsi', 'Pepsi', 'Pepsi', 'Pepsi', 'Pepsi', 'Pepsi', 'Pepsi', 'Pepsi', 'Pepsi', 'Pepsi', 'Beef Burger', 'Pepsi', 'Pepsi', 'McChicken', 'Pepsi', 'Pepsi', 'Pepsi', 'Pepsi', 'Pepsi', 'Pepsi', 'Pickles', 'Pepsi', 'Pepsi', 'Pepsi', 'Pepsi', 'Pepsi', 'Pepsi', 'Pepsi', 'Pepsi', 'Pepsi', 'Pepsi', 'Mirinda', 'Pepsi', 'Pepsi', 'Sprite', 'Potato Wedges', 'Pepsi', 'Pepsi', 'Pepsi', 'Pepsi', 'Pepsi', 'Pepsi', 'Pepsi', 'Pepsi', 'Pepsi', 'Pepsi', 'Pepsi', 'Pepsi', 'Pepsi', 'Pepsi', 'Pepsi', 'Pepsi', 'Pepsi', 'Pepsi', 'Cheesy Bread', 'Pepsi', 'Pepsi', 'Pepsi', 'Pepsi', 'Pepsi', 'Pepsi', 'Pepsi', 'Pepsi', 'Mirinda', 'Pepsi', 'Pepsi', 'Pepsi', 'Pepperoni Pizza', 'Koshary', 'Pepsi', 'Onion Rings', 'Pepsi', 'Quarter Pounder', 'Pepsi', 'Pepsi', 'Pepsi', 'Coleslaw', 'Pepsi', 'Coleslaw', 'Pepsi', 'Tamarind Juice', 'Pepsi']","Pepperoni Pizza, Wings, Pepsi, Pepsi, Potato Wedges"
157,Dominos,family,afternoon,"['Pepperoni Pizza', 'Cheesy Bread', 'Potato Wedges', 'Coke']","Pepperoni Pizza, Cheesy Bread, Potato Wedges, Coke"
158,Dominos,student,afternoon,"['BBQ Chicken Pizza', 'Potato Wedges', 'Sprite']","BBQ Chicken Pizza, Potato Wedges, Sprite"
159,CookDoor,diet,afternoon,['Shawarma'],Shawarma
160,KFC,student,afternoon,"['Zinger', 'Fries']","Zinger, Fries"
161,SpaghettiFactory,family,afternoon,"['Spaghetti Bolognese', 'Soda']","Spaghetti Bolognese, Soda"
162,Hardees,diet,morning,['Chicken Fillet'],Chicken Fillet
163,KFC,student,morning,"['Zinger', 'Fries', 'Pepsi', 'Coleslaw', 'Juice', 'Salad', 'Chicken Bucket', 'Crispy Sandwich', 'Sprite', 'Salad', 'Chicken Sandwich', 'McChicken', 'Coke', 'Onion Rings', 'Juice', 'Cheesy Bread', 'Cheesy Bread', 'BBQ Chicken Pizza', 'Mountain Dew']","Zinger, Fries, Pepsi"
164,KFC,student,afternoon,"['Zinger', 'Fries', 'Pepsi', 'Coleslaw', 'Juice', 'Salad', 'Chicken Bucket', 'Crispy Sandwich', 'Sprite', 'Salad', 'Chicken Sandwich', 'McChicken', 'Coke', 'Onion Rings', 'Juice', 'Cheesy Bread', 'Cheesy Bread', 'BBQ Chicken Pizza', 'Mountain Dew']","Zinger, Fries, Pepsi"
165,Bazooka,student,afternoon,"['Crispy Sandwich', 'Juice']","Crispy Sandwich, Juice"
166,TacoBell,student,afternoon,"['Taco', 'Pepsi']","Taco, Pepsi"
167,Bazooka,diet,night,['Beef Burger'],Beef Burger
168,CookDoor,student,afternoon,"['Shawarma', 'Cola']","Shawarma, Cola"
169,KFC,family,morning,"['Zinger', 'Fries', 'Pepsi', 'Coleslaw', 'Juice', 'Salad', 'Chicken Bucket', 'Crispy Sandwich', 'Sprite', 'Salad', 'Chicken Sandwich', 'McChicken', 'Coke', 'Onion Rings', 'Juice', 'Cheesy Bread', 'Cheesy Bread', 'BBQ Chicken Pizza', 'Mountain Dew']","Zinger, Fries, Pepsi, Coleslaw"
170,Bazooka,family,afternoon,"['Beef Burger', 'Fries', 'Mozzarella Sticks', 'Cola']","Beef Burger, Fries, Mozzarella Sticks, Cola"
171,Hardees,diet,morning,"['Thickburger', 'Garlic Bread']","Thickburger, Garlic Bread"
172,TacoBell,family,night,"['Burrito', 'Fries', 'Fries']","Burrito, Fries, Fries"
173,CookDoor,family,night,"['Shawarma', 'Fries', 'Juice']","Shawarma, Fries, Juice"
174,Dominos,family,morning,"['Pepperoni Pizza', 'Potato Wedges']","Pepperoni Pizza, Potato Wedges"
175,McDonalds,student,morning,"['McChicken', 'Fries', 'Sprite']","McChicken, Fries, Sprite"
176,Hardees,student,afternoon,"['Thickburger', 'Fries', 'Pepsi']","Thickburger, Fries, Pepsi"
177,CookDoor,family,night,"['Shawarma', 'Fries', 'Cola']","Shawarma, Fries, Cola"
178,Bazooka,student,afternoon,['Beef Burger'],Beef Burger
179,SpaghettiFactory,family,night,"['Alfredo Pasta', 'Soda']","Alfredo Pasta, Soda"
180,CookDoor,family,morning,"['Shawarma', 'Fries', 'Juice', 'Thickburger', 'Twister', 'Garlic Bread', 'Beef Burger', 'Spaghetti Bolognese', 'Coke', 'Chicken Ranch', 'Koshary', 'BBQ Chicken Pizza', '7UP', 'Burrito']","Shawarma, Fries, Juice"
181,CookDoor,diet,afternoon,"['Shawarma', 'Fries']","Shawarma, Fries"
182,Zooba,student,night,"['Koshary', 'Tamarind Juice']","Koshary, Tamarind Juice"
183,TacoBell,diet,night,['Taco'],Taco
184,Hardees,family,afternoon,"['Thickburger', 'Fries', 'Fries', 'Cola']","Thickburger, Fries, Fries, Cola"
185,KFC,diet,afternoon,"['Twister', 'Coleslaw']","Twister, Coleslaw"
186,TacoBell,family,morning,"['Taco', 'Fries', 'Pepsi']","Taco, Fries, Pepsi"
187,TacoBell,student,night,"['Taco', 'Pepsi']","Taco, Pepsi"
188,Bazooka,diet,afternoon,"['Beef Burger', 'Fries']","Beef Burger, Fries"
189,Bazooka,student,afternoon,"['Beef Burger', 'Fries', 'Cola']","Beef Burger, Fries, Cola"
190,Bazooka,student,afternoon,"['Beef Burger', 'Mozzarella Sticks', 'Cola']","Beef Burger, Mozzarella Sticks, Cola"
